group,system,accuracy,macro_f1,schema_valid_scene_rate,family_exact_match,evidence_exact_match
prompt_robustness,qwen3_4b_base_guideline_concise_controlled,0.6818181818181818,0.43583430120015487,0.95,0.1,0.34545454545454546
prompt_robustness,qwen3_4b_base_guideline_concise_external,0.9675324675324676,0.9674982060698156,1.0,0.8958333333333334,
prompt_robustness,qwen3_4b_base_guideline_reordered_controlled,0.7227272727272728,0.49948569948569943,1.0,0.225,0.29545454545454547
prompt_robustness,qwen3_4b_base_guideline_reordered_external,0.9545454545454546,0.9607826384142173,0.987012987012987,0.875,
learning_curve,qwen3_4b_curve_25_direct_controlled,0.9863636363636363,0.9600275197798418,1.0,0.95,0.85
learning_curve,qwen3_4b_curve_25_direct_external,0.8181818181818182,0.811965811965812,1.0,0.4791666666666667,
learning_curve,qwen3_4b_curve_25_guideline_controlled,0.9363636363636364,0.8620919274286842,1.0,0.65,0.7363636363636363
learning_curve,qwen3_4b_curve_25_guideline_external,0.8636363636363636,0.8734166118781503,0.974025974025974,0.6458333333333334,
learning_curve,qwen3_4b_curve_50_direct_controlled,0.9772727272727273,0.9408049535603714,1.0,0.925,0.990909090909091
learning_curve,qwen3_4b_curve_50_direct_external,0.8571428571428571,0.8796576929934035,0.948051948051948,0.6666666666666666,
learning_curve,qwen3_4b_curve_50_guideline_controlled,0.9636363636363636,0.9285714285714286,1.0,0.8,0.9318181818181818
learning_curve,qwen3_4b_curve_50_guideline_external,0.7792207792207793,0.8128624640482814,0.9090909090909091,0.5208333333333334,
learning_curve,qwen3_4b_curve_75_direct_controlled,1.0,1.0,1.0,1.0,0.990909090909091
learning_curve,qwen3_4b_curve_75_direct_external,0.7662337662337663,0.775793025871766,0.961038961038961,0.3958333333333333,
learning_curve,qwen3_4b_curve_75_guideline_controlled,0.9863636363636363,0.96666152183979,1.0,0.925,0.990909090909091
learning_curve,qwen3_4b_curve_75_guideline_external,0.7532467532467533,0.750683433570257,0.974025974025974,0.4166666666666667,
prompt_robustness,qwen3_4b_qlora_guideline_concise_controlled,0.9954545454545455,0.9876522037386384,1.0,0.975,1.0
prompt_robustness,qwen3_4b_qlora_guideline_concise_external,0.922077922077922,0.9277961302501179,0.987012987012987,0.8125,
prompt_robustness,qwen3_4b_qlora_guideline_reordered_controlled,0.9681818181818181,0.8545208906073253,1.0,0.825,0.9409090909090909
prompt_robustness,qwen3_4b_qlora_guideline_reordered_external,0.8636363636363636,0.8799045599151643,0.961038961038961,0.6666666666666666,
template_holdout,qwen3_4b_template_fold_1_direct,0.995,0.5899937460913071,1.0,0.975,0.8
template_holdout,qwen3_4b_template_fold_1_guideline,1.0,0.6,1.0,1.0,0.755
template_holdout,qwen3_4b_template_fold_2_direct,0.9625,0.39539641943734016,0.9625,0.925,0.675
template_holdout,qwen3_4b_template_fold_2_guideline,0.875,0.36862032629628283,0.875,0.825,0.5791666666666667
template_holdout,qwen3_4b_template_fold_3_direct,0.9090909090909091,0.3894736842105263,1.0,0.5,0.990909090909091
template_holdout,qwen3_4b_template_fold_3_guideline,0.9090909090909091,0.5215686274509804,1.0,0.5,0.9727272727272728
template_holdout,qwen3_4b_template_fold_4_direct,0.9884615384615385,0.5984886649874055,0.9875,0.975,0.7461538461538462
template_holdout,qwen3_4b_template_fold_4_guideline,1.0,0.6,1.0,1.0,0.6153846153846154
template_holdout,qwen3_4b_template_fold_5_direct,0.8833333333333333,0.6271650212723131,0.9125,0.475,0.7222222222222222
template_holdout,qwen3_4b_template_fold_5_guideline,1.0,0.8,1.0,1.0,0.7
model_scale,qwen3_8b_base_direct_controlled,0.7954545454545454,0.3638615254714326,1.0,0.375,0.05454545454545454
model_scale,qwen3_8b_base_direct_external,0.7142857142857143,0.7234927234927235,0.974025974025974,0.3125,
model_scale,qwen3_8b_base_guideline_controlled,0.9772727272727273,0.9406020299007419,1.0,0.875,0.21363636363636362
model_scale,qwen3_8b_base_guideline_external,0.8376623376623377,0.8395104895104895,0.987012987012987,0.5625,
model_scale,qwen3_8b_qlora_direct_controlled,1.0,1.0,1.0,1.0,1.0
model_scale,qwen3_8b_qlora_direct_external,0.8636363636363636,0.8740789186832353,0.974025974025974,0.6458333333333334,
model_scale,qwen3_8b_qlora_guideline_controlled,0.9636363636363636,0.9,1.0,0.8,0.9681818181818181
model_scale,qwen3_8b_qlora_guideline_external,0.8181818181818182,0.8128472222222222,1.0,0.4791666666666667,
